,Mol_Title,ID,Smiles,Active_NotActive,Morgan
0,ZINC03833831,DUD_gr_A_1,C=C1CCCC(C)C1Cc1cc(OC)c(Br)cc1O,1,0.3333333333333333
1,ZINC03833829,DUD_gr_A_2,C=C1CCCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,1,0.43902439024390244
2,ZINC03833836,DUD_gr_A_3,C=C1C=CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,1,0.4936708860759494
3,ZINC03833841,DUD_gr_A_4,C=C1C=C(C)CC(C)(C)C1Cc1ccc([N+](=O)[O-])cc1,1,0.38823529411764707
4,ZINC03833835,DUD_gr_A_5,C=C1C=C(C)C(Cc2cc(OC)c(Br)cc2O)C(C)(C)C1,1,0.5584415584415584
5,ZINC03833827,DUD_gr_A_6,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1O,1,0.7142857142857143
6,ZINC03833832,DUD_gr_A_7,C=C1C=C(C)CC(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,1,0.68
7,ZINC03833830,DUD_gr_A_8,C=C1C=C(C)CC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,1,1.0
8,ZINC03833838,DUD_gr_A_9,C=C1C(C)=CCC(C)(C)C1Cc1cc(OC)c(Br)cc1OC(C)=O,1,0.7297297297297297
9,ZINC03833840,DUD_gr_A_10,C=C1CCC(C)(C)C1Cc1cc(OC)c(Br)cc1O,1,0.45569620253164556
10,ZINC03814383,DUD_gr_A_11,CC(=O)C1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,1,0.14285714285714285
11,ZINC03833823,DUD_gr_A_12,CC12CCC3C(CCC4=CC(=O)CCC43C)C1CCC2C(=O)CO,1,0.12931034482758622
12,ZINC03833824,DUD_gr_A_13,CC12CCC(=O)C=C1CCC1C3CCC(C(=O)CO)C3(C=O)CC(O)C12,1,0.10569105691056911
13,ZINC03833822,DUD_gr_A_14,CC12CC(O)C3C(CCC4=CC(=O)CCC43C)C1CCC2(O)C(=O)CO,1,0.125
14,ZINC03833821,DUD_gr_A_15,CC12CC(O)C3C(CCC4=CC(=O)C=CC43C)C1CCC2(O)C(=O)CO,1,0.1440677966101695
15,ZINC03833819,DUD_gr_A_16,CCC(=O)C1(O)CCC2C3C=C(C)C4=CC(=O)C=CC4(C)C3C(O)CC21C,1,0.1810344827586207
16,ZINC03833820,DUD_gr_A_17,CCC(=O)C1(O)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,1,0.15833333333333333
17,ZINC03814371,DUD_gr_A_18,CC(=O)OC1(C(C)=O)CCC2C3CC(C)C4=CC(=O)CCC4(C)C3CCC21C,1,0.16666666666666666
18,ZINC03831982,DUD_gr_A_19,CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(Cl)cc1-3,1,0.1743119266055046
19,ZINC03831986,DUD_gr_A_20,CC1=CC(C)(C)Nc2ccc3c(c21)C(C)Oc1ccc(F)cc1-3,1,0.1743119266055046
20,ZINC03831990,DUD_gr_A_21,C=CCC1Oc2ccccc2-c2ccc3c(c21)C(C)=CC(C)(C)N3,1,0.168141592920354
21,ZINC03831944,DUD_gr_A_22,C=C1c2ccc3c(c2C(c2ccccc2)OC1=CC)C(C)=CC(C)(C)N3,1,0.17094017094017094
22,ZINC04628814,DUD_gr_A_23,C=C1c2ccc3c(c2C(c2ccccc2)OC1=CCOC)C(C)=CC(C)(C)N3,1,0.19166666666666668
23,ZINC03831934,DUD_gr_A_24,CC=C1OC(c2ccccc2)c2c(ccc3c2C(C)=CC(C)(C)N3)C1=COC,1,0.1721311475409836
24,ZINC03831933,DUD_gr_A_25,CC=C1OC(c2cccc(OCSC)c2)c2c(ccc3c2C(C)=CC(C)(C)N3)C1=COC,1,0.18461538461538463
25,ZINC03831973,DUD_gr_A_26,CC1c2c(ccc3c2C(c2ccccc2)Oc2ccccc2-3)NC(C)(C)C1=O,1,0.13385826771653545
26,ZINC03831989,DUD_gr_A_27,CC1C(=O)C(C)(C)Nc2ccc3c(c21)C(c1cccc(F)c1)Oc1ccccc1-3,1,0.140625
27,ZINC03831971,DUD_gr_A_28,CC1C(=O)C(C)(C)Nc2ccc3c(c21)C(c1cccc(F)c1)Oc1ccccc1-3,1,0.140625
28,ZINC03833825,DUD_gr_A_29,CC(=O)SC1CC2=CC(=O)CCC2(C)C2CCC3(C)C(CCC34CCC(=O)O4)C12,1,0.1328125
29,ZINC03831985,DUD_gr_A_30,CC1C(=O)C(C)(C)Nc2ccc3c(c21)C(=Cc1ccccc1)Oc1ccccc1-3,1,0.13076923076923078
30,ZINC03831993,DUD_gr_A_31,CC1C(=O)C(C)(C)Nc2ccc3c(c21)C(=Cc1cccc(F)c1)Oc1ccccc1-3,1,0.13740458015267176
31,ZINC03831947,DUD_gr_A_32,CN(C)c1ccc(C2CC3(C)C(CCC3(O)CCCO)C3CCC4=CC(=O)CCC4=C23)cc1,1,0.13768115942028986
32,ZINC00001238,DUD_gr_D_1,[O-][N+]1=C(c2ccccc2)c2cc(Cl)ccc2N=C(NCC2CC2)C1,0,0.10833333333333334
33,ZINC00006625,DUD_gr_D_2,Cc1nc(N2CCc3ccccc3C2)nc(Nc2ccc(F)cc2)c1C,0,0.10317460317460317
34,ZINC00008536,DUD_gr_D_3,CC1CCCC(Nc2nnc(-c3cccs3)c3ccccc32)C1C,0,0.09836065573770492
35,ZINC00032014,DUD_gr_D_4,Cc1ccc2sc(-c3ccc(NC(=O)C(C)(C)C)cc3)nc2c1,0,0.16363636363636364
36,ZINC00037775,DUD_gr_D_5,Cc1cc(Cl)ccc1OCC(=O)Nc1ccc(N2CCCC2)cc1,0,0.1565217391304348
37,ZINC00046857,DUD_gr_D_6,Cc1ccc2c(c1)sc(C(=O)Nc1ccc(N(C)C)cc1)c2Cl,0,0.15315315315315314
38,ZINC00048691,DUD_gr_D_7,Cc1ccc(C(=O)Nc2ccsc2C(=O)NC2CCCCC2)cc1,0,0.11764705882352941
39,ZINC00082230,DUD_gr_D_8,CCCc1c(C(=O)NC2CCCCC2)cnn1-c1ccc(Cl)cc1,0,0.11764705882352941
40,ZINC00083289,DUD_gr_D_9,COc1ccccc1C1CCN(C(=S)Nc2cccc(C)c2)CC1,0,0.16666666666666666
41,ZINC00083291,DUD_gr_D_10,COc1ccccc1C1CCN(C(=S)Nc2ccc(F)cc2)CC1,0,0.13675213675213677
42,ZINC00085114,DUD_gr_D_11,O=C(Cc1ccc(F)cc1)Nc1ccc2c(c1)OC1(CCCCC1)O2,0,0.12295081967213115
43,ZINC00085743,DUD_gr_D_12,CC1CCc2sc3ncnc(Nc4ccc(N(C)C)cc4)c3c2C1,0,0.11764705882352941
44,ZINC00085750,DUD_gr_D_13,CC1CCc2sc3ncnc(Nc4ccc(N(C)C)cc4)c3c2C1,0,0.11764705882352941
45,ZINC00098211,DUD_gr_D_14,Cc1sc(NC(=O)c2ccc(C)c(C)c2)nc1-c1ccc(C)cc1,0,0.1592920353982301
